AMAZON.COM INC   ,AMZN,C,0.00023,"$3,440.16"
,BUD,C,0.00381,72.01
ALPHABET INC   ,GOOGL,C,0.00017,"2,441.79"
AIRBNB INC   ,ABNB,C,0.00368,153.14
APPLE INC   ,AAPL,C,0.00319,136.96
BERKSHIRE HATHAWAY INC DEL   ,BRKB,C,0.00123,277.92
BLUE APRON HOLDINGS INC   ,APRN,C,0.09535,4.28
BUMBLE INC   ,BMBL,C,0.01346,57.60
CHIPOTLE MEXICAN GRILL INC   ,CMG,C,0.00028,"1,550.34"
CITIGROUP INC   ,C,C,0.00645,70.75
COINBASE GLOBAL INC   ,COIN,C,0.0011,253.30
CATERPILLAR INC   ,CAT,C,0.00439,217.63
COCA COLA COMPANY   ,KO,C,0.01844,54.11
COLGATE PALMOLIVE COMPANY   ,CL,C,0.01343,81.35
DOORDASH INC   ,DASH,C,0.08668,178.33
DEERE & CO   ,DE,C,0.00101,352.71
EXPEDIA GROUP INC   ,EXPE,C,0.00169,163.71
ETF MANAGERS TRUST   ,MJ,C,1.54635,20.58
FEDEX CORP   ,FDX,C,0.00232,298.33
FACEBOOK INC   ,FB,C,0.00091,347.71
FIGS INC   ,FIGS,C,0.00951,50.10
GAMESTOP CORP   ,GME,C,0.03007,214.14
GENERAL MOTORS COMPANY   ,GM,C,0.00584,59.17
ISHARES CORE S&P 500 ETF   ,IVV,C,1.08207,429.92
ISHARES CORE CONSERVATIVE   ,AOK,C,2.70805,39.80
ISHARES CORE AGGRESSIVE   ,AOA,C,5.77389,70.65
ISHARES TR   ,IEFA,C,0.01437,74.86
INVESCO EXCHANGE TRADED FD TR   ,PEJ,C,0.00866,52.27
HONEST COMPANY INC (THE)   ,HNST,C,0.02654,16.19
HOME DEPOT INC   ,HD,C,0.00055,318.89
JOHNSON & JOHNSON   ,JNJ,C,0.00361,164.74
LOWES COMPANIES INC   ,LOW,C,0.00084,193.97
MATCH GROUP INC   ,MTCH,C,0.0071,161.25
MICROSOFT CORP   ,MSFT,C,0.00346,270.90
NVIDIA CORP   ,NVDA,C,0.00056,800.10
,NTDOY,C,0.009,72.777
NIKE INC   ,NKE,C,0.00245,154.49
PELOTON INTERACTIVE INC   ,PTON,C,0.00942,124.02
OATLY GROUP AB   ,OTLY,C,0.01402,24.46
PEPSICO INC   ,PEP,C,0.00109,148.17
PFIZER INC   ,PFE,C,0.35591,39.16
ROBLOX CORPORATION   ,RBLX,C,0.004,89.98
SCHWAB STRATEGIC TR   ,SCHP,C,0.01368,62.51
SCHWAB STRATEGIC TR   ,SCHD,C,2.79857,75.62
SHOPIFY INC   ,SHOP,C,0.00039,"1,460.98"
SPOTIFY TECHNOLOGY S A   ,SPOT,C,0.00247,275.59
SONOS INC   ,SONO,C,0.00969,35.23
STITCH FIX INC   ,SFIX,C,0.00615,60.30
SOUTHWEST AIRLINES CO   ,LUV,C,0.00581,53.09
STARBUCKS CORP   ,SBUX,C,0.00027,111.81
TESLA INC   ,TSLA,C,0.09008,679.70
TILRAY INC   ,TLRY,C,0.21245,18.08
VANGUARD SECTOR INDEX FDS   ,VGT,C,0.00291,398.77
VANGUARD MEGA CAP ETF   ,MGC,C,2.35162,152.34
VANGUARD SCOTTSDALE FUNDS   ,VGIT,C,0.16232,67.81
WALGREEN BOOTS ALLIANCE INC   ,WBA,C,0.01735,52.61
ZILLOW GROUP INC   ,ZG,C,0.00361,122.53
BOUGHT,06/03/21,C,ISHARES CORE S&P 500 ETF,0.02373
BOUGHT,06/03/21,C,VANGUARD MEGA CAP ETF,0.06744
BOUGHT,06/04/21,C,EXPEDIA GROUP INC,0.00169
BOUGHT,06/07/21,C,,0.00381
BOUGHT,06/09/21,C,ISHARES CORE S&P 500 ETF,0.02361
BOUGHT,06/09/21,C,VANGUARD MEGA CAP ETF,0.06702
BOUGHT,06/11/21,C,PELOTON INTERACTIVE INC,0.00313
BOUGHT,06/14/21,C,FIGS INC,0.00951
BOUGHT,06/16/21,C,ISHARES CORE S&P 500 ETF,0.02355
BOUGHT,06/16/21,C,HOME DEPOT INC,0.00055
BOUGHT,06/16/21,C,LOWES COMPANIES INC,0.00084
BOUGHT,06/16/21,C,VANGUARD MEGA CAP ETF,0.06655
BOUGHT,06/17/21,C,NIKE INC,0.00245
BOUGHT,06/18/21,C,DEERE & CO,0.00101
BOUGHT,06/21/21,C,SOUTHWEST AIRLINES CO,0.00581
BOUGHT,06/23/21,C,ISHARES CORE S&P 500 ETF,0.02368
BOUGHT,06/23/21,C,VANGUARD MEGA CAP ETF,0.0668
BOUGHT,06/25/21,C,BERKSHIRE HATHAWAY INC DEL,0.00123
BOUGHT,06/25/21,C,FACEBOOK INC,0.00091
BOUGHT,06/29/21,C,SPOTIFY TECHNOLOGY S A,0.0012
BOUGHT,06/29/21,C,SONOS INC,0.00969
BOUGHT,06/30/21,C,ISHARES CORE S&P 500 ETF,0.0233
BOUGHT,06/30/21,C,VANGUARD MEGA CAP ETF,0.06582
REINVEST,06/04/21,C,PFIZER INC,0.00358
DIVIDEND,06/04/21,C,PFIZER INC,0.39
REINVEST,06/04/21,C,VANGUARD SCOTTSDALE FUNDS,0.00015
DIVIDEND,06/04/21,C,VANGUARD SCOTTSDALE FUNDS,0.0644
REINVEST,06/08/21,C,ISHARES CORE CONSERVATIVE,0.00176
DIVIDEND,06/08/21,C,ISHARES CORE CONSERVATIVE,0.0261
REINVEST,06/11/21,C,WALGREEN BOOTS ALLIANCE INC,0.00018
DIVIDEND,06/11/21,C,WALGREEN BOOTS ALLIANCE INC,0.4675
REINVEST,06/16/21,C,ISHARES CORE S&P 500 ETF,0.00292
DIVIDEND,06/16/21,C,ISHARES CORE S&P 500 ETF,1.2248
REINVEST,06/16/21,C,ISHARES TR,0.00026
